Student ID,Age,Math Score,Science Score,English Score,Hours Studied,Pass Fail
165,24,58,73,91,5,1
166,23,93,63,65,1,0
167,24,66,77,68,7,1
168,20,51,66,88,8,0
169,18,85,84,72,7,1
170,24,79,77,70,1,0
171,24,80,72,69,3,0
172,19,34,67,78,10,1
173,19,94,51,69,3,1
174,21,56,86,68,7,1
175,22,76,61,78,4,0
176,20,100,71,72,3,0
177,24,97,74,61,6,1
178,24,50,67,72,10,1
179,18,43,86,85,6,1
180,21,86,55,79,10,1
181,22,67,90,87,5,0
182,21,57,78,64,6,1
183,23,74,67,82,3,0
184,22,62,67,65,10,1
185,24,75,43,59,5,0
186,24,66,59,63,9,1
187,22,75,65,73,4,0
188,24,51,72,82,2,0
189,20,86,85,75,5,0
190,22,75,94,70,3,0
191,21,74,73,61,3,0
192,22,48,72,79,4,0
193,24,90,64,81,4,0
194,20,64,49,74,5,1
195,20,75,62,61,7,1
196,23,60,67,80,4,1
197,21,68,81,84,7,0
198,19,69,76,87,9,1
199,19,22,72,67,3,1
200,22,73,63,76,5,0
201,23,94,46,66,4,0
202,18,73,46,62,9,1
203,22,50,50,87,5,1
204,23,74,66,77,10,1
205,21,80,81,84,2,0
206,21,72,81,59,10,0
207,21,63,79,74,1,1
208,21,61,63,77,7,1
209,21,61,83,63,1,0
210,23,75,58,86,8,1
211,23,43,80,69,9,1
212,20,59,49,76,7,0
213,19,88,55,66,9,1
214,24,89,89,60,10,0
215,21,42,67,81,6,1
216,18,48,61,75,7,1
217,24,60,83,74,3,0
218,23,78,84,69,9,1
219,18,37,64,75,3,0
220,18,64,73,84,6,1
221,18,57,71,65,4,0
222,20,84,36,77,9,1
223,23,39,53,74,1,0
224,18,66,81,70,9,1
225,21,59,60,55,4,0
226,22,87,76,71,10,1
227,18,73,73,78,5,0
228,20,56,84,75,1,0
229,24,77,53,57,1,1
230,23,59,74,84,6,1
231,20,79,69,88,10,0
232,18,61,60,70,1,0
233,23,80,60,95,2,0
234,22,71,72,63,3,0
235,18,100,77,59,7,1
236,20,64,70,61,2,0
237,19,70,71,74,5,0
238,21,57,64,54,9,1
239,24,65,64,68,10,1
240,20,24,60,100,8,1
241,23,71,63,56,8,1
242,18,85,77,66,2,0
243,21,70,78,61,1,1
244,18,45,54,69,9,1
245,23,52,59,68,10,1
246,18,28,61,65,4,1
247,19,79,69,70,9,1
248,21,49,49,78,7,1
249,21,64,59,85,6,1
250,23,62,53,69,10,0
251,24,87,74,72,9,1
252,19,66,69,76,10,1
253,20,77,64,59,4,1
254,18,73,57,70,1,0
255,22,85,64,66,5,1
256,18,61,63,81,6,1
257,18,93,89,89,6,1
258,20,35,81,64,1,1
259,18,77,61,84,7,1
260,19,52,71,57,8,0
261,19,57,81,74,5,1
262,21,73,61,74,2,0
263,23,73,52,57,2,0
264,24,74,48,63,5,0
265,22,44,85,62,7,1
266,18,86,67,58,7,1
267,18,51,73,45,4,1
268,20,53,63,69,3,0
269,23,74,54,71,9,0
270,19,60,57,71,7,0
271,22,69,53,79,2,1
272,21,32,80,52,1,1
273,19,69,87,68,2,1
274,23,68,70,97,3,1
275,24,57,51,80,5,1
276,21,33,75,80,3,1
277,24,61,85,61,10,1
278,20,64,81,70,9,1
279,20,59,69,49,10,1
280,18,37,67,77,4,0
281,24,88,69,86,7,1
282,23,55,84,57,4,0
283,22,61,79,60,3,0
284,21,28,65,71,10,0
285,19,88,65,73,1,0
286,23,58,64,66,9,1
287,23,66,57,63,1,1
288,20,81,86,63,1,1
289,24,54,60,71,1,1
290,18,79,75,77,5,1
291,18,34,62,71,7,1
292,21,73,64,70,7,1
293,20,88,68,54,10,1
294,23,56,76,80,1,0
295,22,81,66,71,6,1
296,20,92,56,67,9,0
297,21,61,70,74,6,1
298,21,59,60,63,4,0
299,20,51,88,67,10,1
300,21,57,66,73,9,1
301,20,52,61,65,3,0
302,19,51,93,55,10,1
303,20,82,78,53,4,0
304,24,53,59,76,4,1
305,20,68,60,71,4,1
306,21,65,75,71,6,1
307,24,87,70,60,7,1
308,21,57,80,71,9,1
309,18,70,62,67,3,0
310,18,76,78,65,8,1
311,24,87,43,71,8,1
312,19,57,68,74,1,0
313,18,55,62,89,5,0
314,20,49,64,77,10,1
315,21,98,68,80,5,0
316,18,85,83,83,8,1
317,18,64,56,64,8,1
318,19,93,43,68,2,1
319,24,63,57,62,3,0
320,24,75,82,65,2,1
321,23,65,50,67,1,0
322,19,70,63,64,2,0
323,20,69,80,74,10,1
324,24,58,69,76,6,1
325,21,81,83,58,1,0
326,19,75,45,68,6,1
327,18,80,66,68,1,1
328,21,69,86,57,2,0
329,21,51,56,64,8,1
330,18,90,82,80,6,1
331,19,61,67,80,9,0
332,18,70,75,55,1,0
333,23,74,85,76,5,0
334,21,70,75,57,7,1
335,22,78,62,67,9,1
336,22,81,76,71,9,1
337,20,61,62,79,4,0
338,24,89,73,70,4,0
339,18,60,54,61,4,0
340,18,70,70,60,3,1
341,20,59,84,73,8,0
342,20,54,66,65,5,0
343,20,80,83,67,7,1
344,21,100,100,81,10,1
345,23,59,69,76,6,1
346,18,83,77,87,9,1
347,21,60,75,61,3,0
348,20,64,72,64,6,1
349,18,91,79,73,3,0
350,21,48,67,90,2,0
351,23,44,62,64,3,0
352,21,63,51,72,2,1
353,23,74,65,85,2,1
354,20,71,80,72,10,0
355,23,70,58,82,7,1
356,18,65,72,91,10,1
357,20,76,68,74,3,1
358,18,21,62,76,8,1
359,22,53,47,79,2,0
360,19,63,86,62,7,1
361,23,75,76,57,3,0
362,19,87,100,73,9,0
363,19,51,82,65,7,0
364,23,86,86,82,9,1
365,20,58,49,75,2,0
366,22,63,48,82,6,0
367,18,73,70,59,5,0
368,21,61,56,82,2,0
369,18,81,61,49,4,0
370,21,58,100,60,4,1
371,18,59,84,78,8,1
372,23,80,58,66,7,1
373,22,53,41,67,5,1
374,21,68,57,73,9,1
375,24,40,63,86,1,0
376,20,92,66,52,4,0
377,18,83,54,84,5,0
378,18,100,83,85,8,1
379,21,85,61,66,3,0
380,20,48,77,65,5,0
381,20,75,70,70,3,0
382,23,51,81,64,7,1
383,24,88,67,75,10,1
384,23,48,58,76,3,0
385,23,47,62,56,7,1
386,23,40,62,62,2,0
387,23,57,94,60,7,1
388,23,54,70,74,9,1
389,22,46,70,80,5,1
390,20,94,80,61,6,1
391,23,72,69,80,10,0
392,20,71,83,62,3,1
393,20,88,65,79,10,1
394,19,68,64,69,5,0
395,22,53,58,67,5,0
396,23,39,92,83,3,0
397,18,52,69,89,8,1
398,21,87,55,52,6,1
399,24,46,72,77,3,1
400,18,70,62,73,1,0
401,22,80,65,78,10,1
402,21,69,73,57,1,0
403,22,70,88,61,10,1
404,20,74,71,65,2,1
405,21,70,61,74,10,1
406,20,89,63,64,5,1
407,18,49,77,68,7,1
408,18,68,46,80,1,1
409,21,37,57,92,1,0
410,21,33,72,79,4,1
411,23,63,49,80,10,0
412,22,73,66,70,6,1
413,23,89,64,63,9,1
414,22,100,80,68,1,0
415,23,84,66,71,10,1
416,20,75,84,60,5,1
417,21,67,70,80,9,1
418,18,42,91,87,8,1
419,22,62,53,73,7,1
420,22,84,89,82,10,1
421,18,78,65,84,2,0
422,23,45,87,61,9,1
423,22,74,84,54,8,1
424,24,72,35,67,10,1
425,20,70,75,72,10,1
426,21,64,81,60,9,1
427,18,74,85,86,9,1
428,21,75,55,91,9,0
429,24,55,77,73,3,0
430,22,71,72,62,7,0
431,22,62,75,76,1,0
432,24,42,81,62,9,1
433,18,56,83,83,9,1
434,20,41,62,69,3,0
435,19,79,73,79,5,0
436,18,70,70,81,8,0
437,19,59,67,77,6,1
438,24,86,68,89,10,1
439,23,66,72,73,10,0
440,19,43,62,66,9,1
441,20,58,80,50,3,0
442,23,89,85,49,7,1
443,19,54,60,78,6,1
444,24,69,85,70,5,0
445,23,76,60,63,4,1
446,24,73,80,60,5,0
447,19,100,85,79,4,1
448,24,47,68,62,3,1
449,20,48,60,88,7,1
450,19,47,62,95,6,1
451,19,60,74,62,4,0
452,19,81,93,78,9,1
453,18,49,49,76,1,0
454,18,81,71,62,1,1
455,18,65,68,62,9,1
456,20,48,64,70,7,1
457,23,38,69,60,2,0
458,24,42,63,82,10,1
459,22,55,84,69,5,1
460,19,62,86,60,4,0
461,24,85,71,71,1,1
462,19,76,68,76,9,1
463,20,52,64,64,6,1
464,19,71,71,52,6,1
465,18,89,92,73,4,0
466,22,93,68,59,2,0
467,21,60,59,64,8,1
468,19,79,65,76,8,1
469,24,85,79,66,3,0
470,18,42,61,70,7,1
471,21,57,69,86,7,1
472,22,98,75,68,5,1
473,21,60,62,92,5,0
474,18,21,48,79,8,1
475,23,63,57,62,4,0
476,23,81,59,67,1,0
477,21,65,67,59,1,0
478,20,75,70,78,9,1
479,24,79,79,85,4,1
480,24,59,55,68,1,0
481,21,57,78,53,2,0
482,19,67,65,75,10,1
483,19,67,48,63,7,1
484,24,65,70,64,2,0
485,24,66,85,75,1,0
486,23,53,80,84,10,0
487,20,76,69,79,9,1
488,18,73,83,76,5,0
489,19,44,72,70,4,0
490,24,59,81,58,4,0
491,23,66,50,75,1,0
492,22,56,55,79,3,0
493,23,74,78,66,1,0
494,19,63,88,68,5,0
495,19,67,75,83,5,1
496,23,58,64,68,9,1
497,18,35,59,69,8,0
498,21,34,66,71,5,0
499,19,73,84,78,5,1
500,23,69,65,74,7,0
501,24,71,82,74,2,1
502,23,67,77,87,7,1
503,20,68,90,67,1,0
504,21,79,72,62,5,0
505,22,71,69,82,6,1
506,18,80,83,74,10,1
507,22,67,58,66,1,0
508,21,60,64,68,9,1
509,21,67,49,59,9,1
510,21,52,54,74,1,0
511,22,59,93,57,4,0
512,24,67,78,78,8,1
513,21,67,53,66,2,0
514,23,63,84,58,8,1
515,22,44,61,82,10,1
516,21,74,77,94,9,0
517,23,77,77,76,9,1
518,24,89,89,69,1,1
519,20,71,63,62,9,1
520,24,65,61,74,4,1
521,21,49,37,78,8,1
522,22,87,68,72,9,1
523,19,68,78,80,3,0
524,21,67,80,87,6,1
525,19,61,85,59,3,0
526,23,60,73,74,1,0
527,20,75,76,52,10,1
528,18,49,70,63,6,0
529,24,89,78,79,5,0
530,20,86,58,71,3,0
531,21,59,53,55,4,0
532,19,52,60,82,2,0
533,24,34,72,66,10,1
534,19,46,54,80,10,0
535,22,75,62,77,4,0
536,19,69,62,63,4,0
537,22,72,79,80,3,0
538,23,37,77,75,6,1
539,24,59,70,73,1,0
540,24,85,75,67,9,1
541,18,63,75,60,10,1
542,21,45,65,67,3,1
543,22,63,63,67,3,0
544,18,53,88,80,3,1
545,19,70,40,55,7,1
546,19,65,61,86,8,1
547,18,73,67,87,2,0
548,24,46,76,65,1,0
549,19,58,83,86,5,0
550,23,81,92,61,8,1
551,23,44,68,83,3,1
552,18,49,69,63,6,1
553,22,67,74,82,3,1
554,22,69,63,57,6,1
555,18,57,55,82,4,0
556,22,60,68,84,7,1
557,24,72,78,57,10,1
558,24,77,67,89,1,0
559,22,48,74,82,1,0
560,23,70,47,52,5,0
561,22,87,70,67,9,1
562,24,63,65,82,5,0
563,20,48,54,79,4,0
564,21,48,77,73,8,1
565,19,62,92,81,5,0
566,20,80,81,63,1,1
567,22,64,82,72,7,1
568,23,67,78,63,4,0
569,18,50,77,73,10,1
570,22,79,48,82,5,0
571,23,47,68,79,6,1
572,21,57,76,74,7,1
573,22,74,76,81,2,0
574,24,34,85,82,1,0
575,18,67,57,89,3,0
576,23,49,77,83,10,0
577,23,65,57,78,1,1
578,23,59,67,81,4,0
579,21,96,69,74,6,1
580,22,59,80,69,5,1
581,21,92,78,80,4,0
582,19,73,71,79,7,0
583,19,52,44,74,6,1
584,22,69,75,70,3,0
585,24,60,66,69,9,1
586,21,68,86,67,5,0
587,18,54,83,84,10,1
588,23,90,58,83,1,0
589,23,78,76,83,6,1
590,22,65,77,61,5,0
591,24,90,76,68,10,1
592,19,66,74,69,8,1
593,19,81,77,65,4,0
594,23,65,88,90,1,0
595,22,70,63,76,2,1
596,21,63,59,75,8,1
597,19,66,79,67,10,1
598,21,67,47,80,8,1
599,24,54,77,93,5,0
600,19,58,75,72,6,0
601,19,61,41,69,2,0
602,20,68,62,71,9,1
603,19,64,88,68,6,1
604,18,82,52,71,9,1
605,22,77,72,65,10,1
606,22,62,57,63,3,0
607,21,85,61,71,6,1
608,24,93,92,72,10,1
609,19,34,71,69,5,0
610,18,78,76,86,9,1
611,21,54,68,76,10,1
612,20,77,51,79,1,0
613,21,83,55,79,9,1
614,21,51,84,73,5,0
615,19,37,71,74,1,1
616,20,77,60,63,10,1
617,21,67,69,78,8,1
618,18,39,77,68,7,1
619,18,100,75,65,6,0
620,22,74,60,85,2,0
621,20,75,51,58,5,0
622,20,85,65,89,3,1
623,22,56,83,88,2,0
624,21,66,80,69,10,1
625,20,45,74,89,1,0
626,18,55,67,63,9,1
627,18,70,63,81,2,0
628,19,40,68,72,1,1
629,20,55,79,53,7,1
630,21,51,82,65,9,0
631,22,67,66,70,6,1
632,22,73,100,79,8,1
633,21,76,71,67,7,1
634,24,79,65,69,9,1
635,23,85,87,77,7,1
636,19,74,45,76,6,1
637,22,93,75,71,1,0
638,20,66,69,68,9,1
639,19,62,87,81,10,0
640,20,74,77,68,5,0
641,24,61,71,60,2,0
642,18,92,77,68,8,1
643,19,81,57,77,4,1
644,22,76,81,70,3,1
645,19,66,53,66,1,1
646,19,58,74,59,5,0
647,19,75,70,70,3,1
648,23,48,48,74,4,0
649,19,88,70,61,9,1
650,20,62,73,70,7,0
651,18,69,62,61,5,0
652,24,51,57,70,8,0
653,21,75,75,89,6,1
654,19,58,74,73,10,1
655,22,74,72,56,2,0
656,19,76,70,75,7,1
657,22,55,63,85,1,0
658,20,48,97,58,3,0
659,22,87,66,61,1,1
660,21,62,59,74,1,1
661,18,68,70,71,5,0
662,22,72,67,84,6,1
663,22,46,66,70,3,0
664,18,71,92,80,3,0
665,21,66,56,87,3,0
666,19,55,70,63,1,0
667,22,47,57,79,5,0
668,18,74,63,67,1,1
669,20,81,90,49,10,1
670,18,67,73,76,10,1
671,20,43,73,77,3,0
672,21,49,58,56,6,1
673,19,58,64,67,6,1
674,18,88,91,65,3,0
675,24,61,75,80,9,1
676,24,57,65,56,8,1
677,23,39,75,73,3,0
678,22,55,73,48,5,0
679,21,46,59,75,5,1
680,18,49,65,73,5,0
681,24,66,97,66,3,0
682,22,58,74,86,5,1
683,24,90,51,45,5,0
684,18,81,76,71,4,0
685,20,55,85,83,4,0
686,18,51,59,73,2,0
687,23,85,64,85,9,1
688,18,89,87,67,7,1
689,18,32,70,70,1,1
690,23,66,68,84,5,0
691,21,61,53,80,2,0
692,18,74,82,95,10,1
693,23,94,67,73,6,1
694,22,57,43,74,7,1
695,20,34,51,67,2,1
696,20,73,63,69,6,1
697,18,85,57,82,3,0
698,21,60,59,71,9,1
699,21,54,98,63,4,0
700,22,58,78,68,3,1
701,18,77,39,71,3,0
702,20,58,66,64,2,0
703,21,69,68,67,9,0
704,18,65,52,62,8,1
705,24,63,76,67,5,0
706,21,75,45,83,9,0
707,23,57,83,72,2,1
708,24,58,87,96,6,1
709,21,76,98,64,7,1
710,20,50,51,76,6,1
711,19,51,53,74,3,0
712,24,46,78,78,10,1
713,22,77,84,65,10,1
714,22,63,79,68,10,1
715,20,45,82,76,9,1
716,21,77,86,66,8,1
717,18,56,72,54,8,1
718,21,51,67,85,8,1
719,20,62,53,80,9,0
720,22,87,66,67,1,0
721,21,59,68,74,8,1
722,22,73,58,82,2,0
723,24,75,69,85,4,1
724,18,71,57,73,1,1
725,24,84,83,66,6,1
726,22,54,75,86,10,1
727,22,49,64,72,1,1
728,19,49,72,70,5,0
729,19,62,56,74,9,1
730,24,50,57,83,1,1
731,23,67,62,71,9,0
732,24,66,67,81,4,1
733,19,80,71,69,3,0
734,22,69,71,78,8,1
735,20,58,54,62,6,0
736,24,71,69,82,7,1
737,22,49,60,65,9,1
738,20,64,29,76,5,1
739,20,69,100,57,2,0
740,19,66,60,72,3,1
741,24,71,61,73,3,1
742,21,55,53,65,4,0
743,18,82,57,70,10,1
744,19,92,67,74,7,1
745,19,40,86,77,10,0
746,21,46,67,73,6,1
747,18,65,66,85,3,0
748,22,61,84,83,7,1
749,23,93,63,71,4,0
750,24,68,70,58,10,1
751,23,85,58,67,8,1
752,22,34,90,49,7,0
753,19,77,82,70,7,1
754,18,54,68,86,9,1
755,19,54,65,79,8,1
756,20,61,69,72,1,0
757,19,43,68,64,7,1
758,19,71,51,73,3,1
759,22,67,82,93,4,0
760,22,68,67,86,6,1
761,22,78,92,70,5,0
762,23,87,75,57,8,0
763,20,59,39,94,2,0
764,22,72,54,64,5,0
765,18,69,44,77,5,0
766,23,70,54,56,3,0
767,21,70,50,68,10,1
768,18,88,73,56,5,0
769,24,58,66,60,4,0
770,24,42,78,62,5,1
771,18,54,69,76,10,0
772,22,76,67,71,9,1
773,21,65,94,99,7,0
774,21,57,72,83,1,0
775,23,48,69,83,3,1
776,21,68,59,77,9,1
777,24,74,55,74,4,0
778,20,69,79,83,4,0
779,22,61,78,48,10,1
780,21,67,88,65,6,1
781,23,67,75,58,3,0
782,24,67,65,53,3,0
783,20,47,76,64,9,1
784,19,67,69,60,5,0
785,19,58,80,83,7,1
786,20,80,86,72,5,1
787,24,66,67,51,6,1
788,23,77,91,75,8,1
789,20,60,84,61,8,1
790,22,61,70,72,2,1
791,22,87,78,75,9,1
792,19,71,73,64,10,1
793,21,54,70,74,6,0
794,23,78,92,76,7,0
795,19,57,76,70,3,0
796,21,68,59,64,4,0
797,21,92,57,72,6,0
798,22,43,58,70,7,0
799,24,62,75,75,6,1
800,18,71,65,69,5,0
801,24,76,73,60,2,0
802,18,46,81,70,7,1
803,20,41,94,75,5,1
804,22,81,66,73,9,1
805,21,54,53,70,4,0
806,23,53,91,67,10,1
807,18,88,52,66,2,1
808,24,66,52,67,7,1
809,21,66,91,82,7,1
810,18,62,82,62,1,0
811,18,46,75,72,5,0
812,18,75,69,59,3,0
813,23,71,67,79,9,1
814,22,67,62,66,9,1
815,23,63,66,63,7,1
816,19,60,69,74,9,0
817,21,78,53,47,2,0
818,22,62,60,59,10,1
819,22,64,44,75,8,1
820,22,72,70,82,10,1
821,24,68,70,76,10,1
822,22,89,91,73,10,1
823,23,38,74,96,1,0
824,22,69,63,76,3,1
825,20,54,67,61,8,1
826,21,50,75,82,8,1
827,22,58,72,65,10,0
828,21,65,76,64,8,1
829,20,66,74,58,7,1
830,20,42,66,67,2,1
831,21,56,63,59,3,0
832,18,69,62,77,9,1
833,19,51,58,70,2,0
834,24,48,57,58,7,1
835,18,31,92,71,1,0
836,18,55,71,81,3,0
837,23,47,68,88,1,1
838,24,50,64,54,6,1
839,24,60,75,64,4,0
840,18,56,84,59,1,1
841,22,47,78,75,5,0
842,23,33,81,57,4,0
843,23,69,62,82,10,1
844,20,76,69,84,10,1
845,24,59,63,80,2,0
846,18,61,71,64,7,0
847,20,65,85,65,8,1
848,21,88,75,67,4,0
849,19,41,89,83,9,1
850,23,58,66,55,3,0
851,21,39,60,75,6,1
852,21,70,76,62,7,0
853,22,62,71,67,7,1
854,19,68,73,79,6,1
855,21,67,72,56,9,0
856,21,79,64,69,1,0
857,19,73,72,70,9,0
858,19,77,81,71,9,1
859,21,49,82,70,4,0
860,19,82,64,77,5,1
861,21,54,72,67,3,1
862,21,55,87,75,7,1
863,22,69,64,75,2,0
864,18,69,62,74,8,1
865,21,48,79,77,9,1
866,20,62,77,74,6,0
867,23,87,59,71,9,1
868,24,42,53,59,6,0
869,18,87,72,85,3,0
870,18,61,64,88,10,1
871,18,29,49,68,3,1
872,22,44,61,76,2,0
873,21,50,77,66,5,1
874,22,55,68,64,4,0
875,21,63,88,72,6,1
876,22,24,44,100,5,0
877,22,67,86,87,6,0
878,23,49,65,86,4,0
879,20,85,64,77,3,0
880,22,60,51,62,1,0
881,23,79,75,82,5,0
882,19,81,48,43,6,1
883,20,81,79,75,5,0
884,22,56,51,82,5,0
885,24,56,53,73,6,1
886,18,61,55,88,4,1
887,19,74,61,57,4,1
888,19,57,81,88,8,1
889,23,63,88,70,8,1
890,19,69,62,86,3,0
891,20,51,69,82,7,1
892,22,50,75,87,5,1
893,22,62,66,81,5,0
894,24,64,75,78,3,0
895,18,71,69,85,2,1
896,23,75,66,72,3,0
897,18,48,52,78,7,1
898,19,52,71,71,3,0
899,24,50,81,65,2,0
900,18,86,60,77,4,0
901,20,63,46,73,5,0
902,22,65,66,84,7,1
903,19,65,88,70,1,1
904,24,54,84,64,8,1
905,18,88,63,84,10,1
906,23,71,75,72,3,0
907,20,65,77,64,6,1
908,20,48,87,85,4,0
909,18,47,51,81,5,0
910,22,60,57,90,10,1
911,18,54,45,68,6,1
912,19,48,61,67,2,0
913,18,59,82,61,3,1
914,20,61,63,66,8,1
915,24,67,54,68,8,0
916,18,57,72,78,1,0
917,22,49,73,62,10,1
918,24,50,57,65,8,1
919,23,83,63,88,2,1
920,21,46,71,42,10,1
921,18,70,78,76,10,0
922,22,72,62,59,8,1
923,24,63,60,63,10,1
924,22,91,92,86,5,1
925,23,72,66,72,1,1
926,20,92,72,98,8,1
927,22,55,77,78,5,1
928,24,55,48,63,1,0
929,22,72,69,77,4,1
930,22,61,50,83,1,1
931,22,90,68,77,9,0
932,19,70,86,69,10,0
933,19,49,58,55,2,0
934,20,38,50,68,8,1
935,18,63,92,88,4,0
936,22,63,56,64,9,1
937,23,69,52,67,2,0
938,18,83,89,81,3,0
939,23,81,55,78,2,0
940,18,56,89,58,10,1
941,20,45,73,70,5,1
942,22,46,85,86,1,0
943,22,53,72,72,3,0
944,21,59,82,86,1,0
945,23,69,58,86,10,1
946,18,52,62,62,8,1
947,18,69,44,69,4,1
948,19,70,81,78,3,0
949,21,67,75,56,8,1
950,24,48,57,69,9,1
951,24,72,49,77,8,1
952,19,96,73,65,6,1
953,19,68,90,77,3,0
954,19,20,68,65,8,1
955,23,83,62,65,5,1
956,23,54,58,79,5,0
957,20,98,84,85,9,1
958,20,66,60,64,1,0
959,19,39,65,59,7,1
960,21,34,82,71,8,1
961,18,88,77,76,10,0
962,23,81,66,64,3,0
963,21,98,61,88,8,1
964,22,65,87,70,1,0
965,23,64,56,64,8,1
966,23,59,67,91,7,1
967,20,55,51,84,4,0
968,18,59,84,64,7,1
969,18,68,64,82,10,1
970,24,52,61,65,7,0
971,24,39,77,79,10,1
972,24,67,52,89,1,1
973,24,52,77,59,3,1
974,22,16,65,66,7,1
975,22,73,55,66,5,0
976,23,48,58,74,9,1
977,19,74,61,76,7,0
978,20,74,64,71,3,0
979,20,69,55,55,1,1
980,24,100,73,59,5,0
981,23,62,55,63,10,0
982,21,60,41,77,5,0
983,19,75,93,58,7,0
984,23,64,72,62,1,0
985,19,82,94,60,10,1
986,19,45,57,75,2,0
987,19,46,75,83,6,1
988,23,76,80,73,8,1
989,24,47,67,91,4,0
990,20,74,52,73,3,0
991,20,70,66,71,3,0
992,24,54,77,64,3,0
993,19,70,77,74,2,0
994,21,46,69,63,1,1
